Date, Open, High, Low, Close, Volume
11/12/21, 60.34, 60.53, 58.465, 58.80, 14155790
11/11/21, 63.04, 63.29, 62.85, 62.92, 2452039
11/10/21, 63.27, 63.45, 62.97, 63.14, 2519074
11/09/21, 62.94, 62.99, 62.58, 62.70, 3618317
11/08/21, 63.66, 63.87, 62.97, 62.99, 4557085
11/05/21, 62.80, 63.135, 62.23, 63.09, 4068487
11/04/21, 63.79, 63.99, 63.505, 63.83, 2811944
11/03/21, 63.95, 64.0737, 63.44, 63.83, 3970131
11/02/21, 62.94, 64.21, 62.635, 63.56, 5455223
11/01/21, 62.19, 62.78, 62.045, 62.46, 2819842
10/29/21, 62.39, 62.46, 61.96, 62.38, 3951313
10/28/21, 62.03, 62.86, 61.99, 62.19, 2529934
10/27/21, 62.63, 62.69, 61.605, 61.77, 2513842
10/26/21, 61.93, 62.35, 61.79, 62.26, 2469737
10/25/21, 61.94, 61.96, 61.33, 61.77, 3144764
10/22/21, 61.89, 62.06, 61.68, 61.79, 3997374
10/21/21, 60.51, 61.25, 60.485, 61.22, 2597746
10/20/21, 60.29, 60.78, 60.22, 60.63, 2981569
10/19/21, 59.56, 60.49, 59.51, 60.17, 3404376
10/18/21, 59.78, 59.87, 59.125, 59.29, 4228572
10/15/21, 60.27, 60.54, 60.08, 60.22, 3513213
10/14/21, 60.39, 60.575, 59.63, 59.67, 5589117
10/13/21, 60.01, 60.66, 60.01, 60.45, 4452750
10/12/21, 60.79, 60.85, 60.20, 60.27, 2746352
10/11/21, 61.04, 61.34, 60.79, 60.80, 3753461
10/08/21, 60.70, 61.105, 60.48, 60.61, 3113399
10/07/21, 59.57, 60.64, 59.53, 60.37, 3820510
10/06/21, 59.64, 59.905, 59.225, 59.86, 6688597
10/05/21, 60.13, 60.485, 59.875, 59.89, 4139259
10/04/21, 60.05, 60.55, 59.88, 60.54, 6926117
10/01/21, 59.29, 59.945, 58.69, 59.68, 6071487
09/30/21, 59.94, 60.55, 59.94, 60.06, 7801455
09/29/21, 58.98, 59.86, 58.735, 59.67, 8548247
09/28/21, 58.3869, 58.3869, 57.105, 57.63, 6232564
09/27/21, 59.45, 59.535, 58.52, 58.72, 5849251
09/24/21, 60.95, 61.295, 60.24, 60.35, 10108200
09/23/21, 59.24, 59.76, 59.24, 59.48, 5322426
09/22/21, 58.67, 59.08, 58.21, 58.74, 6388170
09/21/21, 58.87, 59.505, 58.63, 59.13, 8696166
09/20/21, 56.17, 58.60, 56.08, 58.50, 17488670
09/17/21, 56.16, 56.355, 55.125, 55.56, 7304529
09/16/21, 56.47, 56.73, 56.01, 56.60, 5344742
09/15/21, 56.53, 56.605, 56.13, 56.45, 6923091
09/14/21, 56.337, 56.48, 55.7401, 55.96, 6483072
09/13/21, 56.63, 56.64, 55.80, 55.96, 4013247
09/10/21, 56.81, 56.8494, 56.25, 56.26, 3930792
09/09/21, 57.02, 57.25, 56.14, 56.29, 5631422
09/08/21, 57.31, 57.41, 56.96, 57.07, 3841547
09/07/21, 59.01, 59.02, 58.21, 58.39, 5063596
09/03/21, 59.15, 59.24, 58.63, 58.83, 5330751
09/02/21, 59.173, 59.62, 59.09, 59.59, 3254524
09/01/21, 58.74, 58.92, 58.38, 58.72, 4344365
08/31/21, 58.45, 58.81, 58.17, 58.28, 4417170
08/30/21, 58.67, 58.81, 58.51, 58.61, 2296705
08/27/21, 58.89, 59.23, 58.46, 58.63, 5244675
08/26/21, 58.86, 59.0589, 58.43, 58.76, 3715407
08/25/21, 58.94, 58.95, 58.40, 58.58, 5606837
08/24/21, 58.36, 58.57, 57.86, 58.52, 4233986
08/23/21, 59.09, 59.35, 58.78, 58.80, 6114650
08/20/21, 59.33, 59.60, 59.07, 59.39, 3494209
08/19/21, 59.12, 59.79, 59.02, 59.19, 4326997
08/18/21, 59.562, 60.19, 59.40, 59.44, 9738823
08/17/21, 58.505, 59.43, 58.48, 59.35, 6907830
08/16/21, 58.07, 58.92, 58.0493, 58.75, 6117553
08/13/21, 57.796, 58.64, 57.74, 58.48, 7197693
08/12/21, 57.06, 57.539, 56.71, 57.46, 9175237
08/11/21, 56.807, 56.92, 56.48, 56.61, 6156849
08/10/21, 56.38, 56.83, 56.245, 56.41, 6694468
08/09/21, 56.66, 56.825, 56.00, 56.36, 9652682
08/06/21, 57.23, 57.279, 56.24, 56.44, 6220202
08/05/21, 58.16, 58.43, 57.87, 58.41, 8875103
08/04/21, 57.50, 57.80, 57.30, 57.31, 6945513
08/03/21, 57.51, 57.725, 57.405, 57.66, 5249068
08/02/21, 57.05, 57.54, 56.785, 57.38, 7252983
07/30/21, 57.45, 57.67, 57.125, 57.24, 7336499
07/29/21, 58.01, 58.60, 57.505, 57.64, 10601840
07/28/21, 57.03, 57.43, 56.81, 56.81, 10798860
07/27/21, 57.69, 57.69, 56.58, 57.46, 15839190
07/26/21, 57.52, 57.615, 56.75, 56.79, 19736680
07/23/21, 58.36, 58.72, 58.015, 58.23, 14129810
07/22/21, 58.15, 58.48, 57.88, 57.96, 48604922
07/21/21, 57.91, 58.055, 57.53, 57.77, 19553100
07/20/21, 57.27, 57.90, 56.76, 57.54, 65540180
07/19/21, 56.44, 56.88, 56.00, 56.48, 41068199
07/16/21, 56.79, 57.48, 56.395, 56.79, 28642770
07/15/21, 58.79, 58.86, 56.85, 56.96, 27055770
07/14/21, 60.085, 60.175, 59.63, 59.80, 23737760
07/13/21, 60.09, 60.655, 60.07, 60.61, 8321737
07/12/21, 60.29, 60.93, 60.23, 60.50, 10067910
07/09/21, 59.12, 59.91, 59.07, 59.63, 6173577
07/08/21, 59.45, 59.67, 58.83, 59.26, 6894951
07/07/21, 59.76, 59.82, 59.295, 59.76, 6434879
07/06/21, 60.41, 60.555, 59.87, 59.90, 6893637
07/02/21, 60.26, 60.875, 60.065, 60.79, 5198428
07/01/21, 59.87, 60.44, 59.71, 60.31, 4754924
06/30/21, 60.058, 60.29, 59.72, 59.90, 4575475
06/29/21, 60.12, 60.34, 59.91, 60.18, 4667350
06/28/21, 59.78, 60.37, 59.725, 60.07, 5822357
06/25/21, 59.05, 59.42, 58.81, 59.35, 9532823
06/24/21, 58.39, 59.0718, 58.33, 58.42, 5247889
06/23/21, 58.85, 58.85, 57.88, 57.98, 5804904
06/22/21, 58.16, 58.32, 57.69, 57.89, 4899942
06/21/21, 58.20, 58.46, 57.98, 58.31, 5305065
06/18/21, 57.83, 58.60, 57.57, 58.37, 14107310
06/17/21, 58.06, 58.46, 57.87, 58.35, 4875014
06/16/21, 58.86, 59.34, 58.28, 58.41, 6968424
06/15/21, 58.99, 59.01, 58.58, 58.84, 5940579
06/14/21, 58.96, 58.965, 58.32, 58.76, 6596732
06/11/21, 59.13, 59.15, 58.53, 58.77, 7684437
06/10/21, 58.14, 58.88, 57.95, 58.84, 7558314
06/09/21, 56.96, 57.655, 56.86, 57.60, 7486531
06/08/21, 56.80, 56.80, 55.915, 56.31, 5164894
06/07/21, 56.62, 56.96, 56.345, 56.40, 6282817
06/04/21, 56.64, 57.06, 56.57, 56.80, 4868823
06/03/21, 55.78, 56.39, 55.73, 56.25, 5497710
06/02/21, 55.88, 56.225, 55.86, 56.10, 6077792
06/01/21, 57.14, 57.16, 56.145, 56.25, 6757118
05/28/21, 56.75, 57.43, 56.70, 56.77, 5565327
05/27/21, 56.21, 57.36, 56.20, 56.89, 12365610
05/26/21, 57.01, 57.06, 56.515, 56.54, 4063383
05/25/21, 57.33, 57.36, 56.76, 56.91, 7404321
05/24/21, 57.51, 57.7157, 57.43, 57.47, 4324524
05/21/21, 57.58, 57.73, 57.35, 57.40, 7252813
05/20/21, 56.97, 57.63, 56.88, 57.44, 10172470
05/19/21, 56.25, 56.36, 55.95, 56.34, 10347280
05/18/21, 56.21, 56.365, 55.99, 55.99, 6982919
05/17/21, 55.49, 55.88, 55.43, 55.88, 5528003
05/14/21, 55.24, 55.38, 55.08, 55.21, 5198525
05/13/21, 54.46, 55.215, 54.43, 55.05, 7311731
05/12/21, 54.72, 55.02, 54.375, 54.50, 8345504
05/11/21, 53.33, 54.185, 53.33, 54.10, 7480114
05/10/21, 54.55, 54.70, 54.17, 54.38, 8361974
05/07/21, 53.53, 54.05, 53.53, 53.81, 4775914
05/06/21, 53.27, 53.52, 52.965, 53.48, 5502378
05/05/21, 53.266, 53.70, 53.08, 53.65, 7360549
05/04/21, 53.27, 53.38, 52.74, 52.93, 8149781
05/03/21, 53.37, 53.74, 53.115, 53.70, 6636696
04/30/21, 53.27, 54.5601, 52.935, 53.07, 15298040
04/29/21, 52.26, 52.28, 50.66, 51.37, 11150900
04/28/21, 52.36, 52.60, 51.93, 52.08, 8145133
04/27/21, 52.80, 52.81, 52.31, 52.37, 8342180
04/26/21, 52.45, 52.48, 51.99, 52.37, 6451470
04/23/21, 52.74, 52.76, 52.155, 52.26, 6560601
04/22/21, 53.07, 53.10, 52.43, 52.71, 9435955
04/21/21, 52.92, 53.175, 52.69, 53.11, 11431750
04/20/21, 52.09, 52.35, 51.95, 52.27, 13942420
04/19/21, 51.64, 51.81, 51.25, 51.63, 16120680
04/16/21, 50.80, 51.01, 50.61, 50.74, 22166240
04/15/21, 50.74, 51.29, 50.60, 50.83, 13902950
04/14/21, 50.04, 50.32, 49.74, 49.84, 11863560
04/13/21, 49.21, 49.60, 48.96, 49.19, 7733898
04/12/21, 49.83, 49.92, 49.365, 49.42, 7890565
04/09/21, 50.15, 50.16, 49.68, 49.94, 7432187
04/08/21, 49.67, 49.80, 49.425, 49.50, 10361280
04/07/21, 49.06, 49.12, 48.26, 48.42, 9469101
04/06/21, 49.45, 49.68, 49.16, 49.22, 7127805
04/05/21, 49.41, 49.80, 49.40, 49.53, 5293953
04/01/21, 49.61, 49.785, 49.325, 49.53, 5958613
03/31/21, 50.042, 50.13, 49.70, 49.72, 6688265
03/30/21, 50.14, 50.17, 49.69, 49.97, 7085042
03/29/21, 50.55, 51.06, 50.4847, 50.81, 8652365
03/26/21, 49.56, 50.67, 49.475, 50.64, 9707470
03/25/21, 48.93, 49.79, 48.81, 49.70, 6800208
03/24/21, 49.13, 49.295, 48.76, 48.79, 6482640
03/23/21, 49.95, 50.21, 49.16, 49.40, 10891760
03/22/21, 49.98, 51.21, 49.87, 51.20, 10091990
03/19/21, 49.22, 49.48, 48.89, 49.21, 6788841
03/18/21, 49.47, 49.97, 49.275, 49.33, 9792160
03/17/21, 49.80, 50.12, 49.09, 50.07, 13008120
03/16/21, 49.95, 50.465, 49.855, 50.05, 16767750
03/15/21, 48.58, 48.78, 48.13, 48.77, 10650880
03/12/21, 48.27, 48.575, 47.88, 48.42, 8919784
03/11/21, 48.95, 49.27, 48.59, 48.67, 12653910
03/10/21, 50.20, 50.29, 49.70, 49.81, 12728690
03/09/21, 49.40, 49.88, 49.07, 49.27, 15539100
03/08/21, 47.75, 48.47, 47.66, 48.19, 11753020
03/05/21, 47.57, 48.12, 47.15, 48.06, 11174780
03/04/21, 47.59, 47.95, 46.48, 47.23, 15996350
03/03/21, 47.64, 47.64, 46.845, 47.16, 14031720
03/02/21, 48.40, 48.43, 47.67, 47.73, 14259650
03/01/21, 48.46, 48.68, 48.08, 48.09, 11384690
02/26/21, 48.85, 48.92, 47.98, 48.38, 8551178
02/25/21, 49.845, 49.87, 48.75, 48.91, 12795870
02/24/21, 49.66, 50.32, 49.505, 50.10, 12218640
02/23/21, 50.70, 50.77, 49.215, 49.31, 14535860
02/22/21, 50.67, 50.81, 50.36, 50.57, 10775960
02/19/21, 51.13, 51.16, 50.545, 50.59, 6895585
02/18/21, 51.49, 51.98, 51.41, 51.50, 9765233
02/17/21, 51.05, 51.79, 50.85, 51.45, 9516106
02/16/21, 51.02, 51.255, 50.595, 50.89, 8823267
02/12/21, 50.93, 51.735, 50.80, 51.69, 11856410
02/11/21, 50.34, 50.43, 49.60, 50.09, 13276010
02/10/21, 50.78, 50.8378, 49.755, 49.97, 9656626
